variable,HLO,LAYS,log(GDP/cap),log(Pop),EdExp %GDP,PTR primary,Primary compl,Gross enroll prim,Gov effect,In conflict,COVID days,log(1+CRS disb MA3),log(1+GCDF)
HLO,1,0.846,0.629,-0.084,0.074,-0.52,0.499,-0.015,0.646,-0.262,-0.121,-0.392,-0.327
LAYS,0.846,1,0.775,-0.147,0.129,-0.737,0.767,0.083,0.748,-0.341,-0.087,-0.394,-0.387
log(GDP/cap),0.629,0.775,1,-0.303,0.137,-0.772,0.669,-0.004,0.794,-0.359,0.024,-0.574,-0.47
log(Pop),-0.084,-0.147,-0.303,1,-0.367,0.313,-0.332,-0.151,-0.232,0.504,0.358,0.706,0.222
EdExp %GDP,0.074,0.129,0.137,-0.367,1,-0.25,0.312,0.047,0.177,-0.228,-0.258,-0.189,-0.24
PTR primary,-0.52,-0.737,-0.772,0.313,-0.25,1,-0.758,0.027,-0.603,0.381,0.041,0.394,0.472
Primary compl,0.499,0.767,0.669,-0.332,0.312,-0.758,1,0.373,0.627,-0.412,-0.099,-0.321,-0.354
Gross enroll prim,-0.015,0.083,-0.004,-0.151,0.047,0.027,0.373,1,-0.002,-0.276,-0.04,-0.046,-0.052
Gov effect,0.646,0.748,0.794,-0.232,0.177,-0.603,0.627,-0.002,1,-0.337,-0.109,-0.48,-0.363
In conflict,-0.262,-0.341,-0.359,0.504,-0.228,0.381,-0.412,-0.276,-0.337,1,0.206,0.386,0.254
COVID days,-0.121,-0.087,0.024,0.358,-0.258,0.041,-0.099,-0.04,-0.109,0.206,1,0.286,-0.099
log(1+CRS disb MA3),-0.392,-0.394,-0.574,0.706,-0.189,0.394,-0.321,-0.046,-0.48,0.386,0.286,1,0.358
log(1+GCDF),-0.327,-0.387,-0.47,0.222,-0.24,0.472,-0.354,-0.052,-0.363,0.254,-0.099,0.358,1
