iso3,is_oda_eligible,has_hlo,n_hlo_cycles,meets_adr0002_option1
ABW,FALSE,FALSE,0,FALSE
AFG,TRUE,TRUE,3,TRUE
AGO,TRUE,TRUE,3,TRUE
AIA,TRUE,FALSE,0,FALSE
ALA,FALSE,FALSE,0,FALSE
ALB,TRUE,TRUE,4,TRUE
AND,FALSE,FALSE,0,FALSE
ARE,FALSE,TRUE,4,FALSE
ARG,TRUE,TRUE,4,TRUE
ARM,TRUE,TRUE,3,TRUE
ASM,FALSE,FALSE,0,FALSE
ATA,FALSE,FALSE,0,FALSE
ATF,FALSE,FALSE,0,FALSE
ATG,TRUE,TRUE,2,TRUE
AUS,FALSE,TRUE,4,FALSE
AUT,FALSE,TRUE,4,FALSE
AZE,TRUE,TRUE,4,TRUE
BDI,TRUE,TRUE,4,TRUE
BEL,FALSE,TRUE,4,FALSE
BEN,TRUE,TRUE,4,TRUE
BES,FALSE,FALSE,0,FALSE
BFA,TRUE,TRUE,4,TRUE
BGD,TRUE,TRUE,3,TRUE
BGR,FALSE,TRUE,4,FALSE
BHR,TRUE,TRUE,4,TRUE
BHS,TRUE,FALSE,0,FALSE
BIH,TRUE,TRUE,4,TRUE
BLM,FALSE,FALSE,0,FALSE
BLR,TRUE,TRUE,1,TRUE
BLZ,TRUE,FALSE,0,FALSE
BMU,FALSE,FALSE,0,FALSE
BOL,TRUE,FALSE,0,FALSE
BRA,TRUE,TRUE,4,TRUE
BRB,TRUE,FALSE,0,FALSE
BRN,TRUE,TRUE,1,TRUE
BTN,TRUE,TRUE,1,TRUE
BVT,FALSE,FALSE,0,FALSE
BWA,TRUE,TRUE,4,TRUE
CAF,TRUE,TRUE,1,TRUE
CAN,FALSE,TRUE,4,FALSE
CCK,FALSE,FALSE,0,FALSE
CHE,FALSE,TRUE,4,FALSE
CHL,TRUE,TRUE,4,TRUE
CHN,TRUE,TRUE,3,TRUE
CIV,TRUE,TRUE,4,TRUE
CMR,TRUE,TRUE,4,TRUE
COD,TRUE,TRUE,3,TRUE
COG,TRUE,TRUE,4,TRUE
COK,TRUE,FALSE,0,FALSE
COL,TRUE,TRUE,4,TRUE
COM,TRUE,TRUE,3,TRUE
CPV,TRUE,FALSE,0,FALSE
CRI,TRUE,TRUE,4,TRUE
CUB,TRUE,FALSE,0,FALSE
CUW,FALSE,FALSE,0,FALSE
CXR,FALSE,FALSE,0,FALSE
CYM,FALSE,FALSE,0,FALSE
CYP,TRUE,TRUE,4,TRUE
CZE,FALSE,FALSE,0,FALSE
DEU,FALSE,TRUE,4,FALSE
DJI,TRUE,FALSE,0,FALSE
DMA,TRUE,TRUE,2,TRUE
DNK,FALSE,TRUE,4,FALSE
DOM,TRUE,TRUE,3,TRUE
DZA,TRUE,TRUE,4,TRUE
ECU,TRUE,TRUE,4,TRUE
EGY,TRUE,TRUE,4,TRUE
ERI,TRUE,FALSE,0,FALSE
ESH,FALSE,FALSE,0,FALSE
ESP,FALSE,TRUE,4,FALSE
EST,FALSE,TRUE,4,FALSE
ETH,TRUE,TRUE,3,TRUE
FIN,FALSE,TRUE,4,FALSE
FJI,TRUE,TRUE,1,TRUE
FLK,FALSE,FALSE,0,FALSE
FRA,FALSE,TRUE,4,FALSE
FRO,FALSE,FALSE,0,FALSE
FSM,FALSE,TRUE,2,FALSE
GAB,TRUE,TRUE,3,TRUE
GBR,FALSE,TRUE,4,FALSE
GEO,TRUE,TRUE,4,TRUE
GGY,FALSE,FALSE,0,FALSE
GHA,TRUE,TRUE,3,TRUE
GIB,TRUE,FALSE,0,FALSE
GIN,TRUE,TRUE,3,TRUE
GLP,FALSE,FALSE,0,FALSE
GMB,TRUE,TRUE,4,TRUE
GNB,TRUE,FALSE,0,FALSE
GNQ,TRUE,FALSE,0,FALSE
GRC,FALSE,TRUE,4,FALSE
GRD,TRUE,TRUE,2,TRUE
GRL,FALSE,FALSE,0,FALSE
GTM,TRUE,TRUE,4,TRUE
GUF,FALSE,FALSE,0,FALSE
GUM,FALSE,FALSE,0,FALSE
