source,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
wdi,199,199,201,201,201,203,204,208,208,208,208,209,209,211,212,212,213,211,211,212,211,210,210,210,210,209,209,208,202,192,0
hci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,153,163,0,169,0,0,0,0,0
wgi,0,201,0,202,0,202,0,202,202,208,208,208,208,208,211,211,213,213,213,204,204,204,204,207,208,208,208,208,0,0,0
uis,0,0,0,3,5,16,23,30,25,34,31,31,44,41,45,71,69,61,71,72,75,70,74,69,70,57,57,37,11,6,0
hlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,153,163,0,169,0,0,0,0,0
aap,61,0,0,0,0,86,0,0,0,0,118,0,0,0,0,102,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0
ucdp,31,31,31,33,30,29,31,25,28,25,24,25,25,30,27,25,30,25,27,31,33,38,33,33,36,39,34,39,34,36,0
covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,210,0,0,0
gari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
crs,153,153,151,151,157,149,151,151,149,149,152,150,150,149,151,151,146,146,146,145,145,145,145,142,142,141,141,140,140,139,0
gcdf,0,0,0,0,0,14,7,15,15,23,32,52,68,62,55,64,65,70,73,83,89,84,96,106,101,48,60,0,0,0,0
