spec_id,spec_label,outcome_label,sample,coef_label,N,beta,se,p_value,signif
A,OECD-only (Session-03 lock),HLO,ALL,log(1+CRS_strict),143,8.17,4.912,0.1015,
A,OECD-only (Session-03 lock),HLO,SSA,log(1+CRS_strict),52,-5.951,14.088,0.677,
A,OECD-only (Session-03 lock),LAYS,ALL,log(1+CRS_strict),139,0.104,0.121,0.394,
A,OECD-only (Session-03 lock),LAYS,SSA,log(1+CRS_strict),50,0.232,0.474,0.6302,
B,OECD + GCDF (lock criterion test),HLO,ALL,log(1+CRS_strict),143,8.065,4.75,0.0947,*
B,OECD + GCDF (lock criterion test),HLO,ALL,log(1+GCDF_strict),143,-0.255,0.765,0.7404,
B,OECD + GCDF (lock criterion test),HLO,SSA,log(1+CRS_strict),52,-5.758,13.092,0.6645,
B,OECD + GCDF (lock criterion test),HLO,SSA,log(1+GCDF_strict),52,-0.098,0.989,0.9223,
B,OECD + GCDF (lock criterion test),LAYS,ALL,log(1+CRS_strict),139,0.104,0.121,0.3964,
B,OECD + GCDF (lock criterion test),LAYS,ALL,log(1+GCDF_strict),139,-0,0.013,0.9864,
B,OECD + GCDF (lock criterion test),LAYS,SSA,log(1+CRS_strict),50,0.18,0.46,0.7005,
B,OECD + GCDF (lock criterion test),LAYS,SSA,log(1+GCDF_strict),50,0.013,0.017,0.4447,
C,Combined OECD+GCDF treatment,HLO,ALL,log(1+CRS+GCDF strict),143,-0.352,1.12,0.7546,
C,Combined OECD+GCDF treatment,HLO,SSA,log(1+CRS+GCDF strict),52,-0.604,1.408,0.6726,
C,Combined OECD+GCDF treatment,LAYS,ALL,log(1+CRS+GCDF strict),139,-0.001,0.019,0.9495,
C,Combined OECD+GCDF treatment,LAYS,SSA,log(1+CRS+GCDF strict),50,0.013,0.024,0.5999,
D,GCDF-only treatment,HLO,ALL,log(1+GCDF_strict),143,-0.274,0.768,0.722,
D,GCDF-only treatment,HLO,SSA,log(1+GCDF_strict),52,-0.13,1.024,0.9005,
D,GCDF-only treatment,LAYS,ALL,log(1+GCDF_strict),139,-0,0.013,0.9888,
D,GCDF-only treatment,LAYS,SSA,log(1+GCDF_strict),50,0.015,0.017,0.398,
