part,term,statistic,2a,2b,2c,2d,2e,2f,2g
estimates,log(1 + CRS disburse MA3),estimate,0.044,0.043,0.252,0.245*,0.148*,0.149*,0.144*
estimates,log(1 + CRS disburse MA3),std.error,(0.058),(0.061),(0.176),(0.136),(0.087),(0.087),(0.086)
estimates,log(GDP per capita),estimate,,0.040,0.021,-0.601,-0.858**,-0.845*,-0.869*
estimates,log(GDP per capita),std.error,,(0.206),(0.400),(0.435),(0.393),(0.462),(0.482)
estimates,PTR (primary),estimate,,,0.009,0.016,-0.004,-0.004,-0.005
estimates,PTR (primary),std.error,,,(0.019),(0.021),(0.018),(0.019),(0.019)
estimates,Ed expenditure (% GDP),estimate,,,,-0.000,-0.013,-0.014,-0.016
estimates,Ed expenditure (% GDP),std.error,,,,(0.059),(0.059),(0.061),(0.062)
estimates,Govt effectiveness (WGI),estimate,,,,,0.976**,0.971**,0.995**
estimates,Govt effectiveness (WGI),std.error,,,,,(0.427),(0.452),(0.469)
estimates,log(1 + GCDF MA3),estimate,,,,,,0.001,0.001
estimates,log(1 + GCDF MA3),std.error,,,,,,(0.013),(0.013)
estimates,In active conflict,estimate,,,,,,,-0.062
estimates,In active conflict,std.error,,,,,,,(0.162)
gof,N,,437,433,180,139,139,139,139
gof,R^2,,0.982,0.982,0.982,0.986,0.988,0.988,0.988
gof,Adj R^2,,0.975,0.974,0.968,0.975,0.977,0.977,0.977
