part,term,statistic,2a,2b,2c,2d,2e,2f,2g
estimates,log(1 + CRS disburse strict-past MA3),estimate,0.014,0.012,0.138,0.139,0.179,0.178,0.195
estimates,log(1 + CRS disburse strict-past MA3),std.error,(0.062),(0.067),(0.166),(0.159),(0.145),(0.148),(0.159)
estimates,log(GDP per capita),estimate,,0.050,-0.086,-0.752,-0.930**,-0.922*,-0.905*
estimates,log(GDP per capita),std.error,,(0.211),(0.476),(0.493),(0.458),(0.505),(0.499)
estimates,PTR (primary),estimate,,,0.014,0.021,0.004,0.004,0.003
estimates,PTR (primary),std.error,,,(0.021),(0.023),(0.019),(0.019),(0.019)
estimates,Ed expenditure (% GDP),estimate,,,,0.002,-0.008,-0.009,-0.007
estimates,Ed expenditure (% GDP),std.error,,,,(0.061),(0.074),(0.073),(0.074)
estimates,WGI PC1 (governance composite),estimate,,,,,0.420**,0.414*,0.426*
estimates,WGI PC1 (governance composite),std.error,,,,,(0.189),(0.229),(0.231)
estimates,log(1 + GCDF strict-past MA3),estimate,,,,,,0.001,-0.000
estimates,log(1 + GCDF strict-past MA3),std.error,,,,,,(0.014),(0.014)
estimates,In active conflict,estimate,,,,,,,0.092
estimates,In active conflict,std.error,,,,,,,(0.151)
gof,N,,437,433,180,139,139,139,139
gof,R^2,,0.982,0.982,0.981,0.986,0.987,0.987,0.987
gof,Adj R^2,,0.975,0.974,0.967,0.973,0.976,0.975,0.975
