outcome_label,family,usd_basis,transform,treatment_col,N,beta,se,p_value,signif,r2_within,r2
HLO,commit,current,raw,crs_commit_usd_sum,143,-0.358,2.953,0.9038,,0.1165,0.9323
LAYS,commit,current,raw,crs_commit_usd_sum,139,0.081,0.059,0.1739,,0.226,0.9879
HLO,commit,constant,raw,crs_commit_usd_defl_sum,143,-0.184,2.932,0.9503,,0.1164,0.9323
LAYS,commit,constant,raw,crs_commit_usd_defl_sum,139,0.075,0.058,0.1966,,0.2238,0.9879
HLO,commit,current,lag1,crs_commit_usd_lag1,143,3.23,1.939,0.1009,,0.1301,0.9334
LAYS,commit,current,lag1,crs_commit_usd_lag1,139,0.029,0.048,0.5459,,0.2113,0.9877
HLO,commit,constant,lag1,crs_commit_usd_defl_lag1,143,2.99,1.885,0.1178,,0.1286,0.9333
LAYS,commit,constant,lag1,crs_commit_usd_defl_lag1,139,0.026,0.046,0.5735,,0.2107,0.9877
HLO,commit,current,ma3,crs_commit_usd_ma3,143,9.881,4.213,0.0223,**,0.1574,0.9355
LAYS,commit,current,ma3,crs_commit_usd_ma3,139,0.255,0.081,0.0026,***,0.287,0.9889
HLO,commit,constant,ma3,crs_commit_usd_defl_ma3,143,9.278,4.274,0.0339,**,0.1535,0.9352
LAYS,commit,constant,ma3,crs_commit_usd_defl_ma3,139,0.237,0.08,0.0045,***,0.2783,0.9888
HLO,commit,current,ma3_lag1,crs_commit_usd_ma3_lag1,143,12.75,4.643,0.0079,***,0.1816,0.9373
LAYS,commit,current,ma3_lag1,crs_commit_usd_ma3_lag1,139,0.202,0.082,0.0167,**,0.2548,0.9884
HLO,commit,constant,ma3_lag1,crs_commit_usd_defl_ma3_lag1,143,11.867,4.526,0.0111,**,0.175,0.9368
LAYS,commit,constant,ma3_lag1,crs_commit_usd_defl_ma3_lag1,139,0.19,0.079,0.0189,**,0.2508,0.9883
HLO,disburse,current,raw,crs_disburse_usd_sum,143,8.273,2.851,0.0052,***,0.1465,0.9346
LAYS,disburse,current,raw,crs_disburse_usd_sum,139,0.089,0.09,0.3278,,0.2175,0.9878
HLO,disburse,constant,raw,crs_disburse_usd_defl_sum,143,8.202,2.696,0.0035,***,0.1472,0.9347
LAYS,disburse,constant,raw,crs_disburse_usd_defl_sum,139,0.084,0.086,0.3349,,0.2169,0.9878
HLO,disburse,current,lag1,crs_disburse_usd_lag1,143,2.644,2.471,0.2888,,0.121,0.9327
LAYS,disburse,current,lag1,crs_disburse_usd_lag1,139,0.066,0.081,0.4203,,0.216,0.9878
HLO,disburse,constant,lag1,crs_disburse_usd_defl_lag1,143,2.471,2.428,0.3128,,0.1205,0.9327
LAYS,disburse,constant,lag1,crs_disburse_usd_defl_lag1,139,0.06,0.08,0.4554,,0.2149,0.9878
HLO,disburse,current,ma3,crs_disburse_usd_ma3,143,11.442,3.943,0.0052,***,0.156,0.9354
LAYS,disburse,current,ma3,crs_disburse_usd_ma3,139,0.162,0.091,0.0814,*,0.2291,0.988
HLO,disburse,constant,ma3,crs_disburse_usd_defl_ma3,143,10.947,3.595,0.0034,***,0.1541,0.9352
LAYS,disburse,constant,ma3,crs_disburse_usd_defl_ma3,139,0.148,0.087,0.0958,*,0.2264,0.9879
HLO,disburse,current,ma3_lag1,crs_disburse_usd_ma3_lag1,143,8.537,5.209,0.1065,,0.1407,0.9342
LAYS,disburse,current,ma3_lag1,crs_disburse_usd_ma3_lag1,139,0.11,0.125,0.3849,,0.2192,0.9878
HLO,disburse,constant,ma3_lag1,crs_disburse_usd_defl_ma3_lag1,143,8.17,4.912,0.1015,,0.1396,0.9341
LAYS,disburse,constant,ma3_lag1,crs_disburse_usd_defl_ma3_lag1,139,0.104,0.121,0.394,,0.2185,0.9878
