estimator,beta,se,p,n,hansen_p,ar1_p,ar2_p,status
"Static FE Model 2 (Session 14, full 2e)",10.95,3.6,0.003,143,NA,NA,NA,estimated
"Static FE Model 2 (Session 14, +conf/COV)",10.83,4.03,0.009,143,NA,NA,NA,estimated
(A) Pooled OLS w/ lagged DV -MIN spec,0,0,0.8705,437,NA,NA,NA,estimated
(A) Pooled OLS w/ lagged DV -FULL spec,-0,0,0.9616,143,NA,NA,NA,estimated
(B) Within FE w/ lagged DV (LSDV) -MIN spec,0,0,0.9422,437,NA,NA,NA,estimated
(B) Within FE w/ lagged DV (LSDV) -FULL spec,-0,0,0.8656,143,NA,NA,NA,estimated
(C) Difference GMM -MIN spec,0.601,10.553,0.9546,2,0.4979,0.1045,NA,estimated
(C) Difference GMM -FULL spec,NA,NA,NA,NA,NA,NA,NA,summary_failed
(D) System GMM -MIN spec,-0.923,0.81,0.2544,5,0.0221,0.0969,NA,estimated
(D) System GMM -FULL spec,NA,NA,NA,NA,NA,NA,NA,failed_to_estimate
