spec,outcome,N,beta_oda,se_oda,p_oda,sigma_country,sigma_resid,is_singular,signif
3a,HLO,447,-5.1885,1.6591,0.0019,47.5317,15.5908,FALSE,***
3b,HLO,443,-1.8,1.6008,0.2615,38.4409,15.6421,FALSE,
3c,HLO,206,-0.5847,2.3713,0.8056,37.2776,18.6299,FALSE,
3d,HLO,173,-2.7624,2.6051,0.2909,36.7707,19.471,FALSE,
3e,HLO,173,-1.3224,2.6795,0.6225,37.051,18.9512,FALSE,
3a,LAYS,443,-0.0892,0.0466,0.0566,2.1063,0.3494,FALSE,*
3b,LAYS,439,-0.0735,0.0444,0.0985,1.3877,0.3701,FALSE,*
3c,LAYS,204,0.0318,0.0672,0.6367,1.2138,0.4129,FALSE,
3d,LAYS,171,3e-4,0.0734,0.9965,1.197,0.4107,FALSE,
3e,LAYS,171,0.0641,0.0739,0.3874,1.2139,0.379,FALSE,
