source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
wdi,132,132,132,132,132,132,132,132,133,133,133,133,133,133,133,133,132,132,132,131,131,131,131
hci,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,118,127,0,133,0,0
wgi,132,0,132,132,132,132,132,132,132,132,132,133,133,133,133,133,133,133,133,133,133,133,133
uis,12,10,18,11,20,15,17,24,22,27,38,39,32,35,36,40,37,40,35,31,25,23,15
hlo,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,118,127,0,133,0,0
aap,51,0,0,0,0,77,0,0,0,0,61,0,0,0,0,47,0,0,0,0,0,0,0
ucdp,26,26,21,22,22,21,21,21,24,23,21,24,20,21,26,27,31,27,28,30,34,31,35
covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,132,132
crs,122,120,122,120,120,122,121,122,121,121,121,119,119,119,118,118,118,118,115,115,115,115,114
gcdf,10,5,9,5,12,9,20,26,19,19,12,33,22,26,24,24,27,36,33,32,15,18,0
