iso3,unclassified,budget_support,curriculum,infrastructure,teacher_training
AFG,1,0,0,0,0
AGO,0.8905782096144246,0.01620141387385144,0.012445921636685798,0.03656244907727657,0.04421200579776165
AIA,0.99767520268469,0,0,0.0023247973153099465,0
ALB,0.788865062503503,0.005286554736705813,1.664986657810134e-4,0.13174652901447265,0.07393535507953765
ARG,0.48351464396403626,0.29774717255401334,0.001391271489696831,0.18179360182941973,0.03555331016283379
ARM,0.8249789803480978,0.06590309248984354,0.004264407014661926,0.06811144927231978,0.036742070875076915
ATG,0.6621740551908174,0,0.001776515184985553,0.30186841151885196,0.03418101810534501
AZE,0.937457350479716,0.015653684877369366,0.0011505052018266123,0.020047889924397475,0.025690569516690635
BDI,0.8919908622006565,0.013685481830492563,0.0029988635152626607,0.05424525699779237,0.03707953545579585
BEN,0.8345416317350643,0.025885044818279124,0.00236135227889377,0.08431753409181417,0.05289443707594856
BFA,0.7668417369254413,0.014301946389578112,1.893936969144334e-4,0.1438353168742878,0.0748316061137783
BGD,0.669451777086524,0.11135033392952107,0.003304788094096643,0.12246333159787588,0.09342976929198245
BIH,0.9100418553225744,0.014949324652587257,0.005246677946780595,0.05143573389396648,0.018326408184091134
BLR,0.9508267151931736,0.0014374185145213999,0.00204514477319814,0.03031739634511275,0.015373325173994104
BLZ,0.3989958903075205,0.006220261673597563,0,0.0796128500721084,0.5151709979467737
BOL,0.6785592828333683,0.10442252253608537,0.004555453671081275,0.06028583608287876,0.15217690487658622
BRA,0.7519982813916811,0.1550568379752167,3.8675288384162107e-4,0.062257720470082156,0.03030040727917844
BRB,0.1702833153974833,0.49090172930007564,0,0.338814955302441,0
BTN,0.7891267638414178,0.07651432811648465,0.002521383442681179,0.12313911883344825,0.008698405765968215
BWA,0.15394164206581826,0.7983760864705763,0.002720175306801872,0.03160721078826539,0.013354885368538157
CAF,0.878161104918647,0.007504830762437787,2.665025227308686e-4,0.09864542974907994,0.01542213204710433
CHL,0.7475720193060277,0.010158288166274246,7.869021329828158e-4,0.17444103971621258,0.06704175067850267
CHN,0.8847571982921479,0.0024427314027451763,0.006607978944381769,0.09061874329906938,0.015573348061655787
CIV,0.8109017436381193,0.06221553509997803,2.5984725467093206e-5,0.1169550265860335,0.00990170995040205
CMR,0.9508269693945548,0.0025160845342777345,1.911837223359418e-4,0.03720305924241081,0.009262703106420828
COD,0.807405045665754,0.003940011472803876,7.066651102381114e-4,0.11405876879035064,0.073889508960853445
COG,0.9333013952402486,0.0011639986075150377,1.1632954188144961e-4,0.06341900048065624,0.0019992761296987937
COK,0.2787938106525732,0.2556359929190914,0.006067523333265253,0.24457293419990503,0.2149297388951652
